,Team,Record,ELO,Rank,ELO Delta,School
0,Arizona,21-0,1826.82,1,,Arizona
1,Michigan,19-1,1808.16,2,2.0,Michigan
2,Connecticut,20-1,1806.0,3,-1.0,Connecticut
3,Duke,19-1,1802.92,4,-1.0,Duke
4,Houston,18-2,1772.45,5,,Houston
5,Texas Tech,16-4,1756.84,6,,Texas Tech
6,Gonzaga,21-1,1743.3,7,,Gonzaga
7,Illinois,18-3,1737.36,8,2.0,Illinois
8,Michigan State,19-2,1726.57,9,3.0,Michigan State
9,Nebraska,20-1,1720.83,10,-2.0,Nebraska
10,Iowa State,19-2,1713.44,11,2.0,Iowa State
11,BYU,17-3,1702.98,12,-1.0,Brigham Young
12,Purdue,17-4,1701.37,13,-4.0,Purdue
13,Saint John's,16-5,1692.8,14,,St. John's (NY)
14,Kansas,15-5,1674.85,15,,Kansas
15,Florida,15-6,1669.21,16,,Florida
16,Arkansas,16-5,1664.33,17,1.0,Arkansas
17,Virginia,17-3,1664.19,18,1.0,Virginia
18,Vanderbilt,18-3,1663.42,19,1.0,Vanderbilt
19,Alabama,14-6,1641.07,20,7.0,Alabama
20,Auburn,14-7,1640.92,21,5.0,Auburn
21,Saint Louis,19-1,1636.71,22,2.0,Saint Louis
22,Clemson,17-4,1634.32,23,-2.0,Clemson
23,Saint Mary's College,18-3,1633.87,24,-2.0,Saint Mary's (CA)
24,Kentucky,14-7,1630.94,25,-8.0,Kentucky
25,Texas A&M,16-4,1624.51,26,-1.0,Texas A&M
26,North Carolina,16-4,1618.04,27,1.0,North Carolina
27,Tennessee,14-6,1617.63,28,6.0,Tennessee
28,Iowa,15-5,1616.46,29,6.0,Iowa
29,UCLA,15-6,1615.41,30,-1.0,UCLA
30,Louisville,14-6,1614.63,31,-8.0,Louisville
31,New Mexico,16-4,1614.09,32,-2.0,New Mexico
32,San Diego State,14-5,1612.65,33,-2.0,San Diego State
33,Wisconsin,15-6,1610.82,34,-2.0,Wisconsin
34,UCF,16-4,1610.01,35,-2.0,UCF
35,George Mason,18-2,1598.84,36,1.0,George Mason
36,Miami (OH),18-0,1598.26,37,-1.0,Miami (OH)
37,North Carolina State,15-6,1587.0,38,5.0,NC State
38,Liberty,15-3,1586.41,39,3.0,Liberty
39,SMU,15-5,1581.64,40,-1.0,Southern Methodist
40,Utah State,16-3,1580.6,41,3.0,Utah State
41,Belmont,18-3,1576.64,42,3.0,Belmont
42,Villanova,15-5,1575.58,43,-3.0,Villanova
43,Santa Clara,17-5,1575.11,44,2.0,Santa Clara
44,Akron,16-4,1570.49,45,6.0,Akron
45,Ohio State,14-6,1569.78,46,1.0,Ohio State
46,Indiana,14-7,1568.65,47,5.0,Indiana
47,USC,14-6,1558.03,48,-10.0,Southern California
48,VCU,15-6,1556.98,49,-1.0,Virginia Commonwealth
49,Georgia,16-5,1551.42,50,-9.0,Georgia
50,West Virginia,14-7,1541.0,51,6.0,West Virginia
51,Virginia Tech,16-6,1535.9,52,8.0,Virginia Tech
52,Nevada,15-6,1532.39,53,10.0,Nevada
53,Miami (FL),17-4,1531.99,54,10.0,Miami (FL)
54,Yale,13-3,1524.75,55,,Yale
55,McNeese,15-4,1523.11,56,5.0,McNeese State
56,UNCW,17-3,1522.73,57,5.0,UNC Wilmington
57,Grand Canyon,13-7,1516.78,58,-9.0,Grand Canyon
58,Stanford,14-7,1515.59,59,-9.0,Stanford
59,Missouri,14-7,1511.6,60,-7.0,Missouri
60,TCU,13-8,1510.74,61,-2.0,TCU
61,Texas,11-9,1506.73,62,-8.0,Texas
62,Boise State,12-7,1504.17,63,5.0,Boise State
63,Tulsa,16-3,1498.8,64,7.0,Tulsa
64,Oklahoma State,14-6,1497.55,65,1.0,Oklahoma State
65,Washington,11-10,1488.62,66,-1.0,Washington
66,Creighton,12-9,1487.53,67,-11.0,Creighton
67,California,14-6,1485.28,68,-10.0,California
68,High Point,16-4,1484.49,69,6.0,High Point
69,Butler,13-8,1484.25,70,-3.0,Butler
70,UC Irvine,13-7,1480.4,71,8.0,UC Irvine
71,Ole Miss,11-9,1480.13,72,,Mississippi
72,Mississippi State,11-10,1479.75,73,9.0,Mississippi State
73,South Florida,13-7,1472.42,74,9.0,South Florida
74,Kent State,14-6,1470.86,75,-2.0,Kent State
75,Cincinnati,11-10,1467.68,76,13.0,Cincinnati
76,Seton Hall,15-6,1467.4,77,10.0,Seton Hall
77,Troy,13-7,1456.41,78,-9.0,Troy
78,North Dakota State,15-5,1454.82,79,2.0,North Dakota State
79,FAU,12-8,1453.21,80,-10.0,Florida Atlantic
80,Memphis,10-10,1450.87,81,22.0,Memphis
81,Illinois State,14-7,1449.27,82,24.0,Illinois State
82,Baylor,10-9,1448.68,83,-9.0,Baylor
83,Bradley,13-8,1448.33,84,1.0,Bradley
84,Dayton,14-7,1445.16,85,-9.0,Dayton
85,Murray State,16-6,1444.73,86,-9.0,Murray State
86,Utah Valley,13-6,1443.96,87,5.0,Utah Valley
87,Charleston,13-8,1440.28,88,12.0,College of Charleston
88,Wichita State,12-8,1437.96,89,1.0,Wichita State
89,Saint Joseph's,11-8,1437.14,90,7.0,Saint Joseph's
90,Arizona State,11-10,1433.83,91,-7.0,Arizona State
91,LSU,13-8,1432.82,92,-12.0,Louisiana State
92,Rhode Island,13-8,1428.69,93,27.0,Rhode Island
93,Wake Forest,11-10,1428.04,94,-16.0,Wake Forest
94,California Baptist,15-6,1424.46,95,3.0,California Baptist
95,UAB,12-8,1422.92,96,13.0,UAB
96,Northwestern,10-11,1421.44,97,22.0,Northwestern
97,Xavier,11-10,1418.8,98,-12.0,Xavier
98,UNLV,9-10,1418.44,99,-6.0,Nevada-Las Vegas
99,San Francisco,12-10,1418.17,100,-9.0,San Francisco
100,Colorado,12-9,1417.81,101,-5.0,Colorado
101,Colorado State,11-9,1416.88,102,-8.0,Colorado State
102,Drake,10-10,1416.73,103,10.0,Drake
103,Sam Houston State,11-7,1415.44,104,18.0,Sam Houston
