,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
0,San Francisco,73,Santa Clara,88,0,1,4,12,24,56,19,14,9,23,1418.17,1575.11,-156.93999999999983,-15
2,UCLA,73,Oregon,57,0,4,4,12,28,58,18,13,10,23,1615.41,1389.56,225.85000000000014,16
4,Colorado State,50,San Diego State,73,3,1,5,11,13,48,30,13,3,14,1416.88,1612.65,-195.76999999999998,-23
6,Portland,51,Pacific,74,1,1,6,6,20,42,23,14,0,28,1233.42,1339.2,-105.77999999999997,-23
12,Houston,79,TCU,70,1,1,6,6,25,54,23,22,6,24,1772.45,1510.74,261.71000000000004,9
14,Florida,95,South Carolina,48,0,8,4,8,37,61,21,14,32,14,1669.21,1393.94,275.27,47
16,Wyoming,62,Utah State,94,1,2,3,16,20,60,32,16,2,18,1306.98,1580.6,-273.6199999999999,-32
18,Illinois State,70,Murray State,65,0,2,5,6,31,56,16,15,5,14,1449.27,1444.73,4.539999999999964,5
20,San Diego,92,Pepperdine,88,0,3,5,15,29,71,29,24,8,25,1220.63,1108.87,111.76000000000022,4
22,South Florida,97,Tulane,83,0,7,7,17,31,65,30,20,10,35,1472.42,1347.61,124.81000000000017,14
24,Minnesota,63,Wisconsin,67,3,1,8,5,25,50,27,19,7,11,1407.51,1610.82,-203.30999999999995,-4
28,Delaware,73,New Mexico State,64,1,3,8,4,23,47,22,7,7,15,1181.66,1228.12,-46.45999999999981,9
30,Louisiana Tech,69,UTEP,59,3,4,6,13,28,53,16,16,22,18,1355.08,1188.32,166.76,10
32,DePaul,61,Georgetown,70,0,0,7,13,14,58,28,15,5,5,1410.84,1395.12,15.720000000000027,-9
34,Belmont,78,Valparaiso,77,1,2,3,7,25,50,24,22,5,20,1576.64,1331.49,245.1500000000001,1
36,North Texas,66,Tulsa,82,3,3,5,13,20,63,18,23,10,22,1366.58,1498.8,-132.22000000000003,-16
38,UAB,83,UTSA,73,0,5,8,10,31,57,18,17,18,32,1422.92,1082.68,340.24,10
40,Denver,32,Kansas City,32,1,2,5,20,31,68,20,12,7,19,1133.67,969.67,164.0000000000001,0
42,South Dakota State,71,Omaha,80,0,3,5,14,25,61,26,18,6,25,1222.32,1249.39,-27.070000000000164,-9
44,Marshall,68,Texas State,72,0,8,7,6,25,62,22,17,8,12,1324.68,1254.2,70.48000000000002,-4
46,Old Dominion,75,Arkansas State,71,0,2,7,5,28,62,23,17,4,14,1213.91,1340.45,-126.53999999999996,4
48,Sam Houston,80,Missouri State,71,2,4,7,10,25,57,13,16,16,19,1415.44,1273.11,142.33000000000015,9
